0,0,34
0,1,35
0,2,31
0,3,38
0,4,30
0,5,35
0,6,38
0,7,44
1,0,48
1,1,57
1,2,56
1,3,47
1,4,39
1,5,43
1,6,51
1,7,39
2,0,58
2,1,47
2,2,59
2,3,51
2,4,54
2,5,55
2,6,46
2,7,48
3,0,41
3,1,43
3,2,45
3,3,44
3,4,35
3,5,36
3,6,36
3,7,37
4,0,60
4,1,50
4,2,45
4,3,31
4,4,36
4,5,36
4,6,32
4,7,36
5,0,57
5,1,62
5,2,60
5,3,65
5,4,39
5,5,54
5,6,39
5,7,49
6,0,97
6,1,85
6,2,106
6,3,116
6,4,80
6,5,70
6,6,88
6,7,89
7,0,89
7,1,87
7,2,82
7,3,82
7,4,58
7,5,66
7,6,67
7,7,57
8,0,84
8,1,88
8,2,85
8,3,78
8,4,78
8,5,69
8,6,69
8,7,89
9,0,62
9,1,75
9,2,86
9,3,88
9,4,68
9,5,76
9,6,80
9,7,75
10,0,87
10,1,86
10,2,100
10,3,74
10,4,70
10,5,82
10,6,60
10,7,57
11,0,82
11,1,79
11,2,104
11,3,90
11,4,68
11,5,86
11,6,58
11,7,62
12,0,81
12,1,91
12,2,56
12,3,76
12,4,64
12,5,65
12,6,81
12,7,70
13,0,72
13,1,75
13,2,71
13,3,79
13,4,54
13,5,52
13,6,62
13,7,67
14,0,83
14,1,116
14,2,119
14,3,98
14,4,81
14,5,79
14,6,94
14,7,88
15,0,78
15,1,77
15,2,86
15,3,103
15,4,77
15,5,69
15,6,81
15,7,72
16,0,78
16,1,69
16,2,74
16,3,83
16,4,62
16,5,68
16,6,62
16,7,59
17,0,61
17,1,68
17,2,74
17,3,60
17,4,65
17,5,63
17,6,54
17,7,52
18,0,147
18,1,135
18,2,130
18,3,152
18,4,108
18,5,102
18,6,120
18,7,132
19,0,90
19,1,81
19,2,89
19,3,88
19,4,74
19,5,58
19,6,70
19,7,81
20,0,60
20,1,61
20,2,69
20,3,57
20,4,48
20,5,54
20,6,48
20,7,58
21,0,104
21,1,71
21,2,83
21,3,88
21,4,71
21,5,60
21,6,80
21,7,82
22,0,69
22,1,68
22,2,68
22,3,67
22,4,59
22,5,66
22,6,57
22,7,65
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
